order_id,order_date,customer_id,customer_email,customer_phone,product_id,product_category,unit_price,quantity,total_amount,payment_method,store_location,sales_rep_id,is_fulfilled,shipping_cost,discount_amount,is_discounted
ORD-1000,2025-01-11 23:13:50.196491,CUST3219,customer535@example.com,+1-464-192-2434,PRD-732,Sports,340.19,4,1360.76,Cash,ST28,EMP659,True,7.07,21.36,True
ORD-1001,2024-05-10 23:13:50.196491,CUST8041,customer196@example.com,+1-337-307-6097,PRD-385,Electronics,314.39,4,1257.56,Cash,ST59,EMP924,True,5.96,5.1,False
ORD-1002,2024-07-27 23:13:50.196491,CUST3060,customer595@example.com,+1-836-845-6692,PRD-248,Electronics,161.69,3,485.07,Credit Card,ST42,EMP470,False,21.88,24.68,True
ORD-1003,2025-01-07 23:13:50.196491,CUST6287,customer886@example.com,+1-506-365-7461,PRD-183,Electronics,409.12,10,4091.2,Bank Transfer,ST22,EMP390,True,21.7,34.83,False
ORD-1004,2025-02-11 23:13:50.196491,CUST2619,customer760@example.com,+1-312-477-5549,PRD-505,Sports,253.25,5,1266.25,PayPal,ST87,EMP431,True,15.77,13.56,False
ORD-1005,2024-10-17 23:13:50.196491,CUST9512,customer377@example.com,+1-390-990-5926,PRD-555,Electronics,40.09,5,200.45,Cash,ST71,EMP705,True,11.82,14.84,False
ORD-1006,2025-04-03 23:13:50.196491,CUST2342,customer364@example.com,+1-566-188-7065,PRD-842,Home,159.87,7,1119.09,PayPal,ST52,EMP360,True,16.8,42.1,False
ORD-1007,2025-01-11 23:13:50.196491,CUST3832,customer108@example.com,+1-331-971-1634,PRD-899,Books,467.97,4,1871.88,Credit Card,ST58,EMP889,True,15.18,0.52,True
ORD-1008,2024-12-23 23:13:50.196491,CUST3824,customer556@example.com,+1-759-899-5677,PRD-260,Home,426.09,4,1704.36,Credit Card,ST45,EMP970,True,10.39,31.82,False
ORD-1009,2024-09-21 23:13:50.196491,CUST2994,customer894@example.com,+1-370-465-5276,PRD-883,Electronics,491.04,9,4419.36,Bank Transfer,ST19,EMP304,True,9.49,19.69,False
ORD-1010,2024-05-28 23:13:50.196491,CUST4490,customer372@example.com,+1-218-325-8640,PRD-559,Home,315.86,6,1895.16,Credit Card,ST15,EMP796,True,9.57,14.92,True
ORD-1011,2025-01-26 23:13:50.196491,CUST8984,customer912@example.com,+1-294-980-6712,PRD-649,Electronics,127.52,4,510.08,Credit Card,ST66,EMP786,True,14.73,32.88,True
